1	Sembungan	B-LOC	PROPN	_	_	4	nsubj	_
63	-	I-PER	PUNCT	_	_	62	punct	_	_
64	tsi	I-PER	PROPN	_	_	62	name	_	_
65	,	_	PUNCT	_	_	37	punct	_	_
66	serta	_	CONJ	_	_	37	cc	_	_
67	menyerahkan	_	VERB	_	_	37	conj	_	_
68	pula	_	ADV	_	_	67	advmod	_	_
69	227	_	NUM	_	_	71	nummod	_	_
70	tahil	B-MISC	NOUN	_	_	71	det	_	_
71	perhiasan	_	NOUN	_	_	67	compound	_	_
72	,	_	PUNCT	_	_	71	punct	_	_
73	rumbia	B-MISC	NOUN	_	_	71	conj	_	_
74	,	_	PUNCT	_	_	71	punct	_	_
75	dan	_	CONJ	_	_	71	cc	_	_
76	13	_	NUM	_	_	78	nummod	_	_
77	potong	_	NOUN	_	_	78	det	_	_
78	pakaian	_	NOUN	_	_	71	conj	_	_
79	.	_	PUNCT	_	_	37	punct	_	_

1	Sebuah	O	DET	_	_	2	det	_	_
2	serangan	B-MISC	NOUN	_	_	5	nsubj	_	_
3	pengayauan	I-MISC	NOUN	_	_	2	compound	_	_
4	biasanya	_	ADV	_	_	5	advmod	_	_
5	terjadi	_	VERB	_	_	0	root	_	_
6	di	B-LOC	ADP	_	_	7	case	_	_
7	ladang	I-LOC	NOUN	_	_	5	nmod	_	_
8	atau	_	CONJ	_	_	7	cc	_	_
9	dengan	_	ADP	_	_	10	case	_	_
10	membakar	_	VERB	_	_	7	acl	_	_
11	sebuah	_	DET	_	_	12	det	_	_
12	rumah	_	NOUN	_	_	10	dobj	_	_
13	dan	_	CONJ	_	_	10	cc	_	_
14	memenggal	_	VERB	_	_	10	conj	_	_
15	semua	_	DET	_	_	16	det	_	_
16	penghuninya	_	NOUN	_	_	14	dobj	_	_
17	ketika	_	SCONJ	_	_	19	mark	_	_
18	mereka	_	PRON	_	_	19	nsubj	_	_
19	melarikan	_	VERB	_	_	14	advcl	_	_
20	diri	_	NOUN	_	_	19	dobj	_	_
21	.	_	PUNCT	_	_	5	punct	_	_

1	Perkembangan	_	NOUN	_	_	3	nsubjpass	_	_
2	ini	_	DET	_	_	1	det	_	_
3	diikuti	_	VERB	_	_	0	root	_	_
4	oleh	_	ADP	_	_	5	case	_	_
5	helm	B-MISC	NOUN	_	_	3	nmod	_	_
6	Brodie	B-PER	PROPN	_	_	5	name	_	_
7	yang	_	PRON	_	_	8	nsubjpass	_	_
8	dipakai	_	VERB	_	_	5	acl	_	_
9	tentara	B-ORG	NOUN	_	_	8	nmod	_	_
10	Imperium	I-ORG	PROPN	_	_	9	name	_	_
11	Britania	I-ORG	PROPN	_	_	10	name	_	_
12	dan	_	CONJ	_	_	11	cc	_	_
13	AS	B-ORG	PROPN	_	_	11	conj	_	_
14	,	_	PUNCT	_	_	5	punct	_	_
15	dan	_	CONJ	_	_	8	cc	_	_
16	pada	_	ADP	_	_	17	case	_	_
17	tahun	_	NOUN	_	_	20	nmod	_	_
18	1916	_	NUM	_	_	17	nummod	_	_
19	oleh	_	ADP	_	_	20	case	_	_
20	Stahlhelm	B-PER	PROPN	_	_	8	nmod	_	_
21	Jerman	B-LOC	PROPN	_	_	20	name	_	_
22	dengan	_	ADP	_	_	23	case	_	_
23	perbaikan	_	NOUN	_	_	20	nmod	_	_
24	desain	_	NOUN	_	_	23	compound	_	_
25	yang	_	PRON	_	_	27	nsubjpass	_	_
26	masih	_	ADV	_	_	27	advmod	_	_
27	dipakai	_	VERB	_	_	24	acl	_	_
28	sampai	_	ADP	_	_	29	case	_	_
29	sekarang	_	NOUN	_	_	27	nmod	_	_
30	.	_	PUNCT	_	_	3	punct	_	_

1	Dari	_	ADP	_	_	2	case	_	_
2	jarak	_	NOUN	_	_	14	nmod	_	_
3	dekat	_	ADJ	_	_	2	amod	_	_
4	,	_	PUNCT	_	_	14	punct	_	_
5	dua	_	NUM	_	_	6	nummod	_	_
6	kapal	B-MISC	NOUN	_	_	14	nsubj	_	_
7	perusak	I-MISC	NOUN	_	_	6	amod	_	_
8	,	O	PUNCT	_	_	6	punct	_	_
9	Sterett	B-MISC	PROPN	_	_	6	appos	_	_
10	dan	_	CONJ	_	_	9	cc	_	_
11	O	_	PROPN	_	_	9	conj	_	_
12	'	_	PUNCT	_	_	11	punct	_	_
13	Bannon	B-PER	PROPN	_	_	11	name	_	_
14	menembakkan	_	VERB	_	_	0	root	_	_
15	beberapa	_	DET	_	_	16	det	_	_
16	kali	_	NOUN	_	_	14	advmod	_	_
17	salvo	B-MISC	NOUN	_	_	14	dobj	_	_
18	ke	_	ADP	_	_	19	case	_	_
19	bangunan	_	NOUN	_	_	14	nmod	_	_
20	atas	_	ADP	_	_	21	case	_	_
21	kapal	B-MISC	NOUN	_	_	14	nmod	_	_
22	Hiei	I-MISC	PROPN	_	_	21	name	_	_
23	.	_	PUNCT	_	_	14	punct	_	_
24	Sebelum	_	SCONJ	_	_	25	mark	_	_
25	melarikan	_	VERB	_	_	34	advcl	_	_
26	diri	_	NOUN	_	_	25	dobj	_	_
27	ke	_	ADP	_	_	29	case	_	_
28	dalam	_	ADP	_	_	29	case	_	_
29	kegelapan	_	NOUN	_	_	25	nmod	_	_
30	,	_	PUNCT	_	_	34	punct	_	_
31	keduanya	_	NOUN	_	_	34	nsubj	_	_
32	mungkin	_	ADV	_	_	34	advmod	_	_
33	sempat	_	ADV	_	_	34	advmod	_	_
34	menyarangkan	_	VERB	_	_	14	dep	_	_
35	satu	_	NUM	_	_	39	nummod	_	_
36	atau	_	CONJ	_	_	35	cc	_	_
37	dua	_	NUM	_	_	35	conj	_	_
38	buah	_	NOUN	_	_	39	det	_	_
39	torpedo	_	NOUN	_	_	34	dobj	_	_
40	ke	_	ADP	_	_	41	case	_	_
41	bagian	_	NOUN	_	_	34	nmod	_	_
42	lambung	_	NOUN	_	_	41	compound	_	_
43	kapal	B-MISC	NOUN	_	_	42	compound	_	_
44	Hiei	I-MISC	PROPN	_	_	43	name	_	_
45	hingga	_	ADP	_	_	47	case	_	_
46	makin	_	ADV	_	_	47	advmod	_	_
47	memperparah	_	VERB	_	_	34	xcomp	_	_
48	kerusakan	_	NOUN	_	_	47	dobj	_	_
49	.	_	PUNCT	_	_	34	punct	_	_

1	Angka	_	PROPN	_	_	8	nsubj	_	_
2	harapan	_	NOUN	_	_	1	compound	_	_
3	hidup	_	NOUN	_	_	2	compound	_	_
4	adalah	_	VERB	_	_	8	cop	_	_
5	73	_	NUM	_	_	8	acl	_	_
6	,	_	PUNCT	_	_	8	punct	_	_
7	4	_	NUM	_	_	8	nummod	_	_
8	tahun	_	NOUN	_	_	0	root	_	_
9	,	_	PUNCT	_	_	8	punct	_	_
10	yakni	_	ADP	_	_	8	mark	_	_
11	di	_	ADP	_	_	12	case	_	_
12	bawah	_	NOUN	_	_	8	nmod	_	_
13	rerata	_	NOUN	_	_	12	nmod	_	_
14	Uni	B-ORG	PROPN	_	_	13	name	_	_
15	Eropa	I-ORG	PROPN	_	_	14	name	_	_
16	.	_	PUNCT	_	_	8	punct	_	_

1	Pasukan	B-ORG	PROPN	_	_	12	nsubjpass	_	_
2	Mongol	I-ORG	PROPN	_	_	1	name	_	_
3	yang	_	PRON	_	_	5	nsubj	_	_
4	tidak	_	ADV	_	_	5	advmod	_	_
5	tahu	_	VERB	_	_	1	acl	_	_
6	apa	_	NOUN	_	_	5	dobj	_	_
7	yang	_	PRON	_	_	10	dobj	_	_
8	harus	_	ADV	_	_	10	advmod	_	_
9	mereka	_	PRON	_	_	10	nsubj	_	_
10	perbuat	_	VERB	_	_	6	acl	_	_
11	itu	_	DET	_	_	1	det	_	_
12	disiasati	_	VERB	_	_	0	root	_	_
13	oleh	_	ADP	_	_	14	case	_	_
14	Raden	B-PER	PROPN	_	_	12	nmod	_	_
15	Wijaya	I-PER	PROPN	_	_	14	name	_	_
16	untuk	_	ADP	_	_	17	case	_	_
17	membantunya	_	VERB	_	_	12	xcomp	_	_
18	memberontak	_	VERB	_	_	17	xcomp	_	_
19	melawan	_	ADP	_	_	20	case	_	_
20	kerajaan	B-ORG	PROPN	_	_	18	nmod	_	_
21	Kediri	I-ORG	PROPN	_	_	20	name	_	_
22	.	_	PUNCT	_	_	12	punct	_	_

1	Krogh	B-PER	PROPN	_	_	6	nsubj	_	_
2	juga	_	ADV	_	_	6	advmod	_	_
3	yang	_	PRON	_	_	5	nsubj	_	_
4	pertama	_	ADJ	_	_	5	amod	_	_
5	kali	_	NOUN	_	_	6	nmod	_	_
6	membuat	_	VERB	_	_	0	root	_	_
7	studi	_	NOUN	_	_	6	dobj	_	_
8	perbandingan	_	NOUN	_	_	7	compound	_	_
9	pada	_	ADP	_	_	10	case	_	_
10	hewan	_	NOUN	_	_	6	nmod	_	_
11	.	_	PUNCT	_	_	6	punct	_	_

1	Lagu	_	PROPN	_	_	4	nsubjpass	_	_
2	ini	_	DET	_	_	1	det	_	_
3	kemudian	_	ADV	_	_	4	advmod	_	_
4	ditampilkan	_	VERB	_	_	0	root	_	_
5	sebagai	_	ADP	_	_	6	case	_	_
6	lagu	_	NOUN	_	_	4	nmod	_	_
7	utama	_	ADJ	_	_	6	amod	_	_
8	dalam	_	ADP	_	_	9	case	_	_
9	rilisan	_	NOUN	_	_	6	nmod	_	_
10	EP	B-MISC	PROPN	_	_	9	name	_	_
11	(	_	PUNCT	_	_	13	punct	_	_
12	Extended	B-MISC	PROPN	_	_	13	name	_	_
13	Play	I-MISC	PROPN	_	_	9	appos	_	_
14	)	_	PUNCT	_	_	13	punct	_	_
15	,	_	PUNCT	_	_	13	punct	_	_
16	Moshi	B-MISC	PROPN	_	_	13	name	_	_
17	Moshi	I-MISC	PROPN	_	_	16	name	_	_
18	Harajuku	I-MISC	PROPN	_	_	17	name	_	_
19	,	_	PUNCT	_	_	13	punct	_	_
20	dan	_	CONJ	_	_	9	cc	_	_
21	album	_	NOUN	_	_	9	conj	_	_
22	"	_	PUNCT	_	_	23	punct	_	_
23	Pamyu	B-MISC	PROPN	_	_	9	name	_	_
24	Pamyu	I-MISC	PROPN	_	_	23	name	_	_
25	Revolution	I-MISC	PROPN	_	_	24	name	_	_
26	"	_	PUNCT	_	_	23	punct	_	_
27	.	_	PUNCT	_	_	4	punct	_	_

1	Maka	_	SCONJ	_	_	2	mark	_	_
2	dimulailah	_	VERB	_	_	0	root	_	_
3	suatu	_	DET	_	_	4	det	_	_
4	gerakan	_	NOUN	_	_	2	nsubjpass	_	_
5	yang	_	PRON	_	_	6	nsubj	_	_
6	bertujuan	_	VERB	_	_	4	acl	_	_
7	membentuk	_	VERB	_	_	6	ccomp	_	_
8	kelompok	B-ORG	NOUN	_	_	7	dobj	_	_
9	pendidikan	I-ORG	NOUN	_	_	8	compound	_	_
10	.	_	PUNCT	_	_	2	punct	_	_

1	Cikal	_	NOUN	_	_	6	nsubjpass	_	_
2	bakal	_	NOUN	_	_	1	compound	_	_
3	Lembaga	_	PROPN	_	_	1	name	_	_
4	Pendidikan	_	PROPN	_	_	3	name	_	_
5	ini	_	DET	_	_	3	det	_	_
6	dirintis	_	VERB	_	_	0	root	_	_
7	oleh	_	ADP	_	_	9	case	_	_
8	beberapa	_	DET	_	_	9	det	_	_
9	ulama	_	NOUN	_	_	6	nmod	_	_
10	terdahulu	_	ADJ	_	_	9	amod	_	_
11	di	_	ADP	_	_	9	case	_	_
12	antaranya	_	ADP	_	_	9	case	_	_
13	oleh	_	ADP	_	_	15	case	_	_
14	almarhum	_	NOUN	_	_	15	amod	_	_
15	Bapak	B-PER	PROPN	_	_	9	nmod	_	_
16	M	I-PER	PROPN	_	_	15	name	_	_
17	.	I-PER	PUNCT	_	_	16	punct	_	_
18	Basith	I-PER	PROPN	_	_	16	name	_	_
19	yang	_	PRON	_	_	23	dobj	_	_
20	kegiatan	_	NOUN	_	_	23	nsubj	_	_
21	belajar	_	NOUN	_	_	20	compound	_	_
22	mengajarnya	_	VERB	_	_	21	acl	_	_
23	bermula	_	VERB	_	_	6	dep	_	_
24	di	_	ADP	_	_	25	case	_	_
25	Musholla	B-LOC	PROPN	_	_	23	nmod	_	_
26	Taqwa	I-LOC	PROPN	_	_	25	name	_	_
27	Muaradua	I-LOC	PROPN	_	_	26	name	_	_
28	sejak	_	ADP	_	_	30	case	_	_
29	pengujung	_	NOUN	_	_	30	amod	_	_
30	tahun	_	NOUN	_	_	23	nmod	_	_
31	'	_	PUNCT	_	_	30	punct	_	_
32	70	_	NUM	_	_	30	nummod	_	_
33	-	_	PUNCT	_	_	32	punct	_	_
34	an	_	NUM	_	_	32	det	_	_
35	.	_	PUNCT	_	_	6	punct	_	_

1	Demikian	_	PRON	_	_	0	root	_	_
2	juga	_	ADV	_	_	1	advmod	_	_
3	bagi	_	ADP	_	_	6	case	_	_
4	sebagian	_	DET	_	_	6	det	_	_
5	besar	_	ADJ	_	_	6	amod	_	_
6	kalangan	_	NOUN	_	_	1	nmod	_	_
7	masyarakat	_	NOUN	_	_	6	compound	_	_
8	yang	_	PRON	_	_	9	nsubj	_	_
9	menganggap	_	VERB	_	_	6	acl	_	_
10	bahwa	_	SCONJ	_	_	11	mark	_	_
11	pemerintahan	_	NOUN	_	_	9	dobj	_	_
12	di	_	ADP	_	_	13	case	_	_
13	Amerika	B-LOC	PROPN	_	_	11	nmod	_	_
14	Serikat	I-LOC	PROPN	_	_	13	name	_	_
15	terlalu	_	ADV	_	_	16	advmod	_	_
16	birokratis	_	ADJ	_	_	11	amod	_	_
17	.	_	PUNCT	_	_	1	punct	_	_

1	Aliran	_	NOUN	_	_	3	nsubj	_	_
2	ini	_	DET	_	_	1	det	_	_
3	memiliki	_	VERB	_	_	0	root	_	_
4	ajaran	_	NOUN	_	_	3	dobj	_	_
5	yang	_	PRON	_	_	6	det	_	_
6	bervariasi	_	VERB	_	_	4	acl	_	_
7	mengenai	_	PUNCT	_	_	6	ccomp	_	_
8	Kristologi	B-MISC	PROPN	_	_	7	dobj	_	_
9	Yesus	I-MISC	PROPN	_	_	8	name	_	_
10	:	_	PUNCT	_	_	8	punct	_	_
11	Doketisme	B-MISC	NOUN	_	_	12	nsubj	_	_
12	merupakan	_	VERB	_	_	8	parataxis	_	_
13	salah	_	ADJ	_	_	15	amod	_	_
14	satu	_	NUM	_	_	13	nummod	_	_
15	aliran	_	NOUN	_	_	12	dobj	_	_
16	dari	_	ADP	_	_	17	case	_	_
17	Gnostisisme	B-MISC	PROPN	_	_	15	nmod	_	_
18	yang	_	PRON	_	_	19	det	_	_
19	ada	_	VERB	_	_	17	acl	_	_
20	pada	_	ADP	_	_	19	case	_	_
21	saat	_	NOUN	_	_	19	dobj	_	_
22	itu	_	DET	_	_	21	det	_	_
23	.	_	PUNCT	_	_	3	punct	_	_

1	Santa	B-LOC	PROPN	_	_	5	nsubj	_	_
2	Fe	I-LOC	PROPN	_	_	1	name	_	_
3	adalah	_	VERB	_	_	5	cop	_	_
4	sebuah	_	DET	_	_	5	det	_	_
5	kotamadya	_	NOUN	_	_	0	root	_	_
6	di	_	ADP	_	_	7	case	_	_
7	Vega	B-LOC	PROPN	_	_	5	nmod	_	_
8	de	I-LOC	PROPN	_	_	7	name	_	_
9	Granada	I-LOC	PROPN	_	_	8	name	_	_
10	,	_	PUNCT	_	_	7	punct	_	_
11	Granada	B-LOC	PROPN	_	_	7	appos	_	_
12	,	_	PUNCT	_	_	11	punct	_	_
13	Spanyol	B-LOC	PROPN	_	_	11	appos	_	_
14	,	_	PUNCT	_	_	5	punct	_	_
15	dialiri	_	VERB	_	_	5	parataxis	_	_
16	oleh	_	ADP	_	_	17	case	_	_
17	Sungai	B-MISC	PROPN	_	_	15	nmod	_	_
18	Genil	B-MISC	PROPN	_	_	17	name	_	_
19	.	_	PUNCT	_	_	5	punct	_	_

1	Kapal	_	NOUN	_	_	3	nsubjpass	_	_
2	ini	_	DET	_	_	1	det	_	_
3	didesain	_	VERB	_	_	0	root	_	_
4	sebagai	_	ADP	_	_	5	case	_	_
5	kapal	_	NOUN	_	_	3	nmod	_	_
6	serang	_	VERB	_	_	5	acl	_	_
7	berkecapatan	_	VERB	_	_	5	acl	_	_
8	tinggi	_	ADJ	_	_	7	amod	_	_
9	,	_	PUNCT	_	_	3	punct	_	_
10	untuk	_	ADP	_	_	11	case	_	_
11	mencapai	_	VERB	_	_	16	xcomp	_	_
12	itu	_	NOUN	_	_	11	dobj	_	_
13	maka	_	SCONJ	_	_	16	mark	_	_
14	badan	_	NOUN	_	_	16	nsubjpass	_	_
15	kapal	_	NOUN	_	_	14	compound	_	_
16	dibuat	_	VERB	_	_	3	parataxis	_	_
17	dari	_	ADP	_	_	18	case	_	_
18	Aluminium	B-MISC	PROPN	_	_	16	nmod	_	_
19	sehingga	_	ADP	_	_	16	advmod	_	_
20	bisa	_	ADV	_	_	22	advmod	_	_
21	lebih	_	ADV	_	_	22	advmod	_	_
22	ringan	_	ADJ	_	_	19	amod	_	_
23	selain	_	ADP	_	_	24	case	_	_
24	itu	_	NOUN	_	_	31	nmod	_	_
25	untuk	_	ADP	_	_	26	case	_	_
26	mencapai	_	VERB	_	_	31	xcomp	_	_
27	kecepatan	_	NOUN	_	_	26	dobj	_	_
28	tinggi	_	ADJ	_	_	27	amod	_	_
29	kapal	_	NOUN	_	_	31	nsubjpass	_	_
30	ini	_	DET	_	_	29	det	_	_
31	dilengkapi	_	VERB	_	_	3	parataxis	_	_
32	dengan	_	ADP	_	_	33	case	_	_
33	mesin	_	NOUN	_	_	31	nmod	_	_
34	gas	_	NOUN	_	_	33	compound	_	_
35	turbin	_	NOUN	_	_	34	compound	_	_
36	General	B-ORG	PROPN	_	_	33	name	_	_
37	Electric	I-ORG	PROPN	_	_	36	name	_	_
38	LM	B-MISC	PROPN	_	_	37	name	_	_
39	1500	I-MISC	NUM	_	_	38	nummod	_	_
40	selain	_	ADP	_	_	42	case	_	_
41	2	_	NUM	_	_	42	nummod	_	_
42	buah	_	NOUN	_	_	33	nmod	_	_
43	mesin	B-MISC	NOUN	_	_	42	compound	_	_
44	diesel	I-MISC	NOUN	_	_	43	compound	_	_
45	untuk	_	ADP	_	_	46	case	_	_
46	kecepatan	_	NOUN	_	_	42	nmod	_	_
47	rendah	_	ADJ	_	_	46	amod	_	_
48	.	_	PUNCT	_	_	3	punct	_	_

1	Partai	_	PROPN	_	_	3	nsubjpass	_	_
2	ini	_	DET	_	_	1	det	_	_
3	didirikan	_	VERB	_	_	0	root	_	_
4	pada	_	ADP	_	_	5	case	_	_
5	bulan	_	PROPN	_	_	3	nmod	_	_
6	Desember	_	PROPN	_	_	5	name	_	_
7	1945	_	NUM	_	_	6	nummod	_	_
8	di	_	ADP	_	_	9	case	_	_
9	Purwakarta	B-LOC	PROPN	_	_	3	nmod	_	_
10	.	_	PUNCT	_	_	3	punct	_	_

1	Tidak	_	PART	_	_	2	neg	_	_
2	ada	_	VERB	_	_	0	root	_	_
3	keterangan	_	NOUN	_	_	2	dobj	_	_
4	kejatuhan	_	NOUN	_	_	3	compound	_	_
5	Yerusalem	B-LOC	PROPN	_	_	4	name	_	_
6	(	_	PUNCT	_	_	7	punct	_	_
7	berbeda	_	VERB	_	_	3	appos	_	_
8	dengan	_	ADP	_	_	9	case	_	_
9	kota	_	NOUN	_	_	7	nmod	_	_
10	-	_	PUNCT	_	_	9	punct	_	_
11	kota	_	NOUN	_	_	9	mwe	_	_
12	lain	_	ADJ	_	_	9	amod	_	_
13	)	_	PUNCT	_	_	7	punct	_	_
14	maupun	_	CONJ	_	_	2	cc	_	_
15	gagalnya	_	NOUN	_	_	17	nsubj	_	_
16	Sanherib	B-PER	NOUN	_	_	15	compound	_	_
17	merebut	_	VERB	_	_	2	conj	_	_
18	Yerusalem	B-LOC	NOUN	_	_	17	dobj	_	_
19	.	_	PUNCT	_	_	2	punct	_	_

1	Bang	B-PER	PROPN	_	_	4	nsubj	_	_
2	Yong	I-PER	PROPN	_	_	1	name	_	_
3	Guk	I-PER	PROPN	_	_	2	name	_	_
4	berkomentar	_	VERB	_	_	0	root	_	_
5	,	_	PUNCT	_	_	4	punct	_	_
